,lcp-elements-equal
0,False
1,False
2,False
3,False
4,False
5,False
6,True
7,False
8,False
9,False
10,False
11,True
12,False
13,False
14,True
15,False
16,True
17,False
18,False
19,False
20,False
21,False
22,True
23,False
24,False
25,False
26,False
27,False
28,False
29,False
30,False
31,False
32,False
33,False
34,False
35,True
36,False
37,True
38,False
39,False
40,True
41,False
42,False
43,False
44,True
45,False
46,False
47,True
48,True
49,False
50,False
51,True
52,True
53,True
54,True
55,False
56,True
57,False
58,True
59,False
60,False
61,True
62,False
63,False
64,False
65,True
66,False
67,False
68,False
69,False
70,False
71,False
72,False
73,True
74,True
75,False
76,False
77,False
78,True
79,False
80,True
81,False
82,True
83,False
84,True
85,False
86,False
87,True
88,True
89,False
90,False
91,False
92,True
93,False
94,False
95,False
96,False
97,False
98,True
99,False
100,True
101,False
102,False
103,False
104,True
105,True
106,False
107,False
108,False
109,True
110,False
111,True
112,False
113,False
114,False
115,False
116,False
117,True
118,False
119,True
120,True
121,False
122,False
123,True
124,False
125,True
126,False
127,False
128,True
129,False
130,False
131,True
132,False
133,True
134,False
135,True
136,False
137,True
138,False
139,False
140,True
141,False
142,False
143,False
144,False
145,False
146,False
147,False
148,True
149,True
